episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
0,18.0,4.817357265342095,0.5651840309542778,1.0579603533895579,13.873301267623901,2.997980678081513,[13.873301267623901 2.997980678081513],0.5,False,True,9.924689777850322,12,17.709159380834848,6.557,in_progress,0.0
0,19.0,4.9581929113591485,0.5969615594770744,7.054363031075286,-12.592027187347412,2.2944351039826874,[-12.592027187347412 2.2944351039826874],0.5,False,True,10.720026771789254,13,17.709159380834848,6.624,in_progress,0.0
0,20.0,5.087341821618689,0.6298636118233413,11.196559883240361,-18.0,2.070744195580483,[-18.0 2.070744195580483],1.0,False,True,11.449387596202548,14,17.709159380834848,6.694,in_progress,0.0
0,21.0,5.233016023392221,0.6509762300083781,9.913116817406879,-18.0,2.1534410148859022,[-18.0 2.1534410148859022],1.0,False,True,12.272031361381016,15,17.709159380834848,6.76,in_progress,0.0
0,22.0,5.378639700542252,0.6614364140793081,6.958379866967963,-18.0,2.0347088098526003,[-18.0 2.0347088098526003],1.0,False,True,13.094337508700438,15,17.709159380834848,6.827,in_progress,0.0
0,23.0,5.510921208874583,0.661553159947058,3.704750762009888,-18.0,1.579494220018387,[-18.0 1.579494220018387],1.0,False,True,13.841174569588407,16,17.709159380834848,6.89,in_progress,0.0
0,24.0,5.645040768435895,0.6513265561715657,-0.13709058655889816,0.9835381507873535,1.8900858074426652,[0.9835381507873535 1.8900858074426652],1.0,False,True,14.598768582559787,17,17.709159380834848,6.963,in_progress,0.0
0,25.0,5.778494923756269,0.6399726084106103,-2.4089817236276834,18.90533208847046,1.795662522315979,[18.90533208847046 1.795662522315979],1.0,False,True,15.35345148178457,18,17.709159380834848,7.026,in_progress,0.0
0,26.0,5.9044574884958205,0.6399826686051907,-1.3235633972363046,19.390239715576172,1.3890826642513276,[19.390239715576172 1.3890826642513276],1.0,False,True,16.064728458309496,19,17.709159380834848,7.09,in_progress,0.0
0,27.0,6.027779952101437,0.6477466746172733,0.9057341079325264,22.72348165512085,1.2748374819755555,[22.72348165512085 1.2748374819755555],1.0,False,True,16.761636526410374,20,17.709159380834848,7.161,in_progress,0.0
0,28.0,6.142008516158279,0.6646908425724259,4.102674013697033,27.095709800720215,1.2426205694675447,[27.095709800720215 1.2426205694675447],1.0,False,True,17.40231345984361,21,17.709159380834848,7.23,in_progress,0.0
0,29.0,6.240779676533045,0.6872180705623786,7.411870064433165,26.01039218902588,1.1905406534671785,[26.01039218902588 1.1905406534671785],1.0,False,True,17.962837809084693,21,17.709159380834848,7.2940000000000005,in_progress,0.0
0,30.0,6.328181025045571,0.7149972956849917,10.9495088690701,25.387019634246826,1.1,[25.387019634246826 1.1],1.0,False,True,18.46763792601682,22,17.709159380834848,7.365,in_progress,0.0
